Destinatio,Origin,Population,id,iso_n3
UK,Dem. People's Rep. of Korea,"224","3116","408"
Germany,Dem. People's Rep. of Korea,"88","1236","408"
Russia,Dem. People's Rep. of Korea,"70","2511","408"
Netherlands,Dem. People's Rep. of Korea,"47","2088","408"
Belgium,Dem. People's Rep. of Korea,"36","295","408"
Australia,Dem. People's Rep. of Korea,"19","102","408"
Lux.,Dem. People's Rep. of Korea,"12","1872","408"
USA,Dem. People's Rep. of Korea,"10","3245","408"
Denmark,Dem. People's Rep. of Korea,"9","878","408"
Uganda,Dem. Rep. of the Congo,"275075","3035","180"
Rwanda,Dem. Rep. of the Congo,"80813","2534","180"
Burundi,Dem. Rep. of the Congo,"67419","478","180"
Tanzania,Dem. Rep. of the Congo,"57571","3207","180"
Zambia,Dem. Rep. of the Congo,"38712","3399","180"
Angola,Dem. Rep. of the Congo,"35322","24","180"
S. Africa,Dem. Rep. of the Congo,"26263","2625","180"
Kenya,Dem. Rep. of the Congo,"19567","1762","180"
France,Dem. Rep. of the Congo,"16004","1089","180"
S. Africa,Dem. Rep. of the Congo,"15296","2640","180"
Canada,Djibouti,"947","544","262"
Belgium,Djibouti,"358","297","262"
USA,Djibouti,"283","3247","262"
France,Djibouti,"278","1090","262"
Ethiopia,Djibouti,"78","996","262"
Germany,Djibouti,"30","1238","262"
Sweden,Djibouti,"23","2753","262"
Switz.,Djibouti,"14","2855","262"
UK,Dominica,"11","3118","212"
USA,Dominica,"10","3248","212"
Canada,Dominica,"6","545","212"
USA,Dominican Rep.,"185","3249","214"
Canada,Dominican Rep.,"124","546","214"
France,Dominican Rep.,"53","1091","214"
Italy,Dominican Rep.,"18","1649","214"
Peru,Dominican Rep.,"13","2328","214"
Mexico,Dominican Rep.,"9","1991","214"
Germany,Dominican Rep.,"8","1239","214"
Greece,Dominican Rep.,"8","1373","214"
Brazil,Dominican Rep.,"5","408","214"
USA,Ecuador,"1037","3250","218"
Brazil,Ecuador,"57","409","218"
Canada,Ecuador,"57","547","218"
Italy,Ecuador,"31","1650","218"
France,Ecuador,"25","1092","218"
Chile,Ecuador,"23","693","218"
Argentina,Ecuador,"17","50","218"
UK,Ecuador,"12","3119","218"
Germany,Ecuador,"11","1240","218"
Colombia,Ecuador,"9","718","218"
USA,Egypt,"12548","3251","818"
Italy,Egypt,"2186","1651","818"
Germany,Egypt,"2000","1241","818"
Australia,Egypt,"1562","104","818"
Canada,Egypt,"1462","548","818"
France,Egypt,"909","1093","818"
UK,Egypt,"666","3120","818"
Sweden,Egypt,"352","2755","818"
Netherlands,Egypt,"231","2091","818"
Greece,Egypt,"219","1374","818"
USA,El Salvador,"20675","3252","222"
Mexico,El Salvador,"3357","1992","222"
Canada,El Salvador,"1450","549","222"
Italy,El Salvador,"1099","1652","222"
Costa Rica,El Salvador,"725","741","222"
Panama,El Salvador,"317","2296","222"
Nicaragua,El Salvador,"217","2183","222"
Belgium,El Salvador,"216","299","222"
Guatemala,El Salvador,"216","1425","222"
Sweden,El Salvador,"90","2756","222"
France,Equatorial Guinea,"32","1095","226"
Spain,Equatorial Guinea,"27","2662","226"
Germany,Equatorial Guinea,"23","1243","226"
Canada,Equatorial Guinea,"14","550","226"
Italy,Equatorial Guinea,"14","1653","226"
USA,Equatorial Guinea,"9","3253","226"
Ethiopia,Eritrea,"169895","997","232"
Sudan,Eritrea,"112296","2717","232"
Germany,Eritrea,"53149","1244","232"
Switz.,Eritrea,"32706","2859","232"
Sweden,Eritrea,"27241","2757","232"
Israel,Eritrea,"15303","1617","232"
Norway,Eritrea,"15300","2234","232"
Netherlands,Eritrea,"14903","2092","232"
UK,Eritrea,"13226","3122","232"
Italy,Eritrea,"7283","1654","232"
USA,Estonia,"265","3255","233"
France,Estonia,"7","1097","233"
Canada,Estonia,"5","552","233"
Canada,eSwatini,"143","553","748"
UK,eSwatini,"57","3123","748"
Ireland,eSwatini,"15","1571","748"
Italy,eSwatini,"9","1655","748"
S. Africa,Ethiopia,"17726","2627","231"
Kenya,Ethiopia,"17261","1764","231"
USA,Ethiopia,"9797","3256","231"
Yemen,Ethiopia,"6297","3389","231"
Sudan,Ethiopia,"5761","2718","231"
Germany,Ethiopia,"4574","1245","231"
S. Africa,Ethiopia,"4121","2642","231"
Somalia,Ethiopia,"3703","2614","231"
Egypt,Ethiopia,"3525","953","231"
Sweden,Ethiopia,"2100","2758","231"
Australia,Fiji,"402","108","242"
USA,Fiji,"207","3257","242"
Canada,Fiji,"58","555","242"
NZ,Fiji,"29","2156","242"
UK,Fiji,"8","3125","242"
USA,France,"24","3258","250"
Germany,France,"16","1246","250"
Canada,France,"10","556","250"
France,Gabon,"140","1099","266"
USA,Gabon,"43","3259","266"
Canada,Gabon,"37","557","266"
Italy,Gabon,"34","1657","266"
Belgium,Gabon,"20","302","266"
Germany,Gabon,"9","1247","266"
Italy,Gambia,"11840","1658","270"
USA,Gambia,"1527","3260","270"
UK,Gambia,"1299","3126","270"
Germany,Gambia,"773","1248","270"
France,Gambia,"263","1100","270"
Sweden,Gambia,"153","2759","270"
Austria,Gambia,"136","196","270"
Canada,Gambia,"87","558","270"
Switz.,Gambia,"49","2861","270"
Senegal,Gambia,"47","2557","270"
France,Georgia,"3112","1101","268"
Germany,Georgia,"585","1249","268"
Austria,Georgia,"511","197","268"
Italy,Georgia,"413","1659","268"
USA,Georgia,"392","3261","268"
Canada,Georgia,"317","559","268"
Greece,Georgia,"266","1379","268"
Russia,Georgia,"179","2514","268"
Switz.,Georgia,"147","2862","268"
Sweden,Georgia,"129","2760","268"
USA,Germany,"41","3262","276"
Russia,Germany,"11","2515","276"
Australia,Germany,"5","111","276"
Togo,Ghana,"9727","2970","288"
Italy,Ghana,"5470","1660","288"
Germany,Ghana,"532","1250","288"
France,Ghana,"512","1102","288"
USA,Ghana,"415","3263","288"
Canada,Ghana,"329","560","288"
UK,Ghana,"291","3128","288"
Sweden,Ghana,"58","2761","288"
Finland,Ghana,"52","1026","288"
Greece,Ghana,"49","1380","288"
Germany,Greece,"48","1251","300"
Sweden,Greece,"18","2762","300"
USA,Greece,"15","3264","300"
Canada,Greece,"14","561","300"
Australia,Greece,"6","113","300"
Canada,Grenada,"60","562","308"
USA,Grenada,"23","3265","308"
UK,Grenada,"18","3129","308"
USA,Guatemala,"16562","3266","320"
Mexico,Guatemala,"637","1996","320"
Canada,Guatemala,"545","563","320"
Costa Rica,Guatemala,"27","742","320"
Belgium,Guatemala,"26","306","320"
France,Guatemala,"14","1103","320"
Panama,Guatemala,"12","2297","320"
Spain,Guatemala,"12","2667","320"
Nicaragua,Guatemala,"10","2184","320"
Sweden,Guatemala,"9","2763","320"
France,Guinea,"8460","1104","324"
Italy,Guinea,"4182","1662","324"
Belgium,Guinea,"3606","307","324"
USA,Guinea,"2234","3267","324"
Germany,Guinea,"2116","1252","324"
Netherlands,Guinea,"668","2097","324"
Canada,Guinea,"448","564","324"
UK,Guinea,"258","3131","324"
Switz.,Guinea,"163","2865","324"
Austria,Guinea,"140","200","324"
France,Guinea-Bissau,"893","1105","624"
Italy,Guinea-Bissau,"809","1663","624"
Germany,Guinea-Bissau,"90","1253","624"
Switz.,Guinea-Bissau,"59","2866","624"
USA,Guinea-Bissau,"23","3268","624"
Brazil,Guinea-Bissau,"21","418","624"
Gambia,Guinea-Bissau,"13","1188","624"
Portugal,Guinea-Bissau,"11","2416","624"
Belgium,Guinea-Bissau,"10","308","624"
Canada,Guinea-Bissau,"9","565","624"
Canada,Guyana,"142","566","328"
USA,Guyana,"85","3269","328"
UK,Guyana,"19","3133","328"
France,Guyana,"17","1106","328"
USA,Haiti,"16624","3270","332"
Canada,Haiti,"6918","567","332"
France,Haiti,"3507","1107","332"
Dominican Rep.,Haiti,"564","917","332"
Mexico,Haiti,"179","1997","332"
Argentina,Haiti,"66","55","332"
Peru,Haiti,"52","2330","332"
Ecuador,Haiti,"21","927","332"
Panama,Haiti,"19","2298","332"
Spain,Haiti,"19","2669","332"
USA,Honduras,"11549","3271","340"
Mexico,Honduras,"2949","1998","340"
Canada,Honduras,"964","568","340"
Costa Rica,Honduras,"157","744","340"
Italy,Honduras,"76","1665","340"
Nicaragua,Honduras,"74","2185","340"
Germany,Honduras,"54","1255","340"
Guatemala,Honduras,"39","1426","340"
Spain,Honduras,"36","2670","340"
UK,Honduras,"34","3134","340"
Canada,Hungary,"3334","569","348"
Germany,Hungary,"256","1256","348"
France,Hungary,"64","1109","348"
Belgium,Hungary,"43","310","348"
USA,Hungary,"18","3272","348"
NZ,Hungary,"8","2157","348"
Colombia,Hungary,"7","721","348"
Peru,Hungary,"6","2331","348"
Switz.,Hungary,"6","2867","348"
USA,India,"5326","3273","356"
Canada,India,"1386","570","356"
Australia,India,"393","115","356"
Germany,India,"367","1257","356"
UK,India,"355","3135","356"
Italy,India,"266","1666","356"
France,India,"218","1110","356"
Austria,India,"59","201","356"
Switz.,India,"37","2868","356"
Greece,India,"27","1383","356"
PNG,Indonesia,"9368","2305","360"
USA,Indonesia,"1605","3274","360"
Malaysia,Indonesia,"908","1908","360"
Australia,Indonesia,"242","116","360"
