type,lat,long
b,35.7993,43.2945
b,3.8738,32.4713
b,15.0320,45.8283
b,13.5795,44.0209
b,34.9278,43.4042
b,17.4933,44.1277
b,35.7993,43.2945
b,33.2947,43.7831
b,2.8883,44.0150
b,33.4904,43.2769
b,34.9292,43.4888
b,35.0528,43.5601
b,35.2019,43.2723
b,7.7180,28.0070
b,36.3350,43.1189
b,35.4973,43.2365
b,33.6366,42.8277
b,33.8514,42.5487
b,35.4973,43.2365
b,33.6366,42.8277
b,15.6445,44.4734
b,35.0637,43.5509
b,33.0373,40.2826
b,35.2019,43.2723
b,35.7728,43.5897
b,-22.7667,46.7667
b,33.4206,43.3078
b,34.8308,44.0518
b,2.6133,44.8888
b,35.3023,44.3263
b,33.0373,40.2826
b,8.2936,30.1326
b,16.7818,43.2157
b,1.7131,44.7639
b,1.6221,44.6364
b,12.9431,43.4103
b,33.0373,40.2826
b,33.3491,43.7860
b,13.9667,45.4833
b,14.1057,45.4481
b,16.3210,42.8130
b,13.3178,44.2801
b,36.2955,41.8932
b,1.7878,44.5300
b,36.2801,41.7278
b,36.3833,42.2161
b,33.4206,43.3078
b,9.3892,43.0611
b,33.0373,40.2826
b,8.2206,43.5572
b,34.2412,44.5091
b,4.0182,44.5127
b,4.4182,32.5767
b,12.9384,43.6507
b,39.0992,39.5435
b,12.6786,13.6079
b,12.3611,13.8246
b,32.0290,20.0162
b,31.2089,16.5887
b,16.1077,44.6801
b,34.6313,43.7410
b,12.9384,43.6507
b,15.7987,44.3976
b,13.3300,44.0921
b,13.5795,44.0209
b,15.4306,45.0142
b,11.3167,13.9667
b,12.9431,43.4103
b,17.6723,43.5236
b,16.1827,44.6261
b,15.7934,44.5687
b,4.0364,43.8742
b,33.4206,43.3078
b,0.4474,42.7033
b,12.8494,24.1111
b,15.5775,45.0145
b,17.4933,44.1277
b,36.4474,43.3508
b,16.1827,44.6261
b,16.3406,44.5845
b,2.1500,45.1160
b,2.7809,45.4968
b,3.5864,30.8564
b,13.8912,44.7731
b,35.5729,42.7339
b,14.1057,45.4481
b,35.4681,44.3922
b,6.5167,122.1333
b,33.9401,42.5653
b,37.3051,44.5742
b,15.3547,44.2067
b,10.8614,30.0328
b,17.5235,44.3095
b,2.7949,45.5505
b,-0.3603,42.5463
b,16.1641,44.7769
b,12.8494,24.1111
b,16.8892,42.5511
b,36.3350,43.1189
b,1.9233,45.1023
b,-0.0740,42.5719
b,36.2955,41.8932
b,33.6366,42.8277
b,35.7837,43.3093
b,33.6366,42.8277
b,2.8000,45.5500
b,16.3771,45.0580
b,12.9668,24.0336
b,10.9493,29.4003
b,4.7360,45.2043
b,15.7000,44.8667
b,35.7993,43.2945
b,2.0095,45.2500
b,15.4264,45.0795
b,33.0373,40.2826
b,31.0940,20.2233
b,31.2089,16.5887
b,13.2685,44.3043
b,0.9961,40.9631
b,37.3732,44.0852
b,13.1345,43.7864
b,4.4182,32.5767
b,13.2127,44.1241
b,15.5242,45.0747
b,34.2589,36.4192
b,34.6158,43.6786
b,4.4197,44.8732
b,11.1416,13.7749
b,11.0991,13.7581
b,35.4153,43.1149
b,35.7728,43.5897
b,32.0408,42.2552
b,32.7490,39.0235
b,1.5667,30.2500
b,34.0283,74.9162
b,16.1077,44.6801
b,12.3730,14.2069
b,16.1813,44.7757
b,10.5660,49.0610
b,5.9312,15.5930
b,11.2426,14.1372
b,5.8500,42.1000
b,16.7481,44.4361
b,4.1207,43.8879
b,5.5376,46.3867
b,36.5127,42.7385
b,36.4747,42.6693
b,36.2955,41.8932
b,8.4541,46.7083
b,36.5221,41.9296
b,1.6584,44.5800
b,1.7317,44.6253
b,7.1300,27.8900
b,16.3146,43.3955
b,33.3283,43.7281
b,19.7179,81.2443
b,31.2089,16.5887
b,35.2019,43.2723
b,33.3390,43.6546
b,33.3673,43.9583
b,33.5057,43.3030
b,3.1172,43.6469
b,1.7087,44.6961
b,35.1294,43.4163
b,33.3065,43.6790
b,16.2306,44.5848
b,33.3673,43.9583
b,33.3390,43.6546
b,12.3730,14.2069
b,11.6625,14.3414
b,11.5221,13.6856
b,4.1950,44.9885
b,15.5555,44.6623
b,33.4206,43.3078
b,34.9515,43.3736
b,35.0637,43.5509
b,13.6150,44.0045
b,33.3958,43.6829
b,34.9292,43.4888
b,14.0903,44.6701
b,13.2127,44.1241
b,36.5988,43.1067
b,8.4774,47.3597
b,33.3491,43.7860
b,11.5019,34.1501
b,36.2955,41.8932
b,38.4667,40.6333
b,13.1752,43.8323
b,2.8712,43.0043
b,4.3151,6.2418
b,-18.6756,34.0728
b,2.0549,45.3300
b,33.3916,43.6258
b,13.9852,45.5727
b,15.9972,44.4314
b,2.0095,45.2500
b,33.2657,43.5218
b,33.4266,43.9347
b,34.9278,43.4042
