Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2015,SYR,"Syrian Arab Rep.",-,"-",CAN,"Canada",3061
2015,AFG,"Afghanistan",-,"-",FIN,"Finland",134
2015,IRQ,"Iraq",-,"-",CHE,"Switzerland",89
2015,MMR,"Myanmar",-,"-",JPN,"Japan",19
2015,SYR,"Syrian Arab Rep.",-,"-",ITA,"Italy",96
2015,AFG,"Afghanistan",-,"-",AUS,"Australia",1061
2015,ERI,"Eritrea",-,"-",DEU,"Germany",177
2015,IRQ,"Iraq",-,"-",NOR,"Norway",4
2015,SOM,"Somalia",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",163
2015,MMR,"Myanmar",-,"-",USA,"United States of America",16675
2015,COD,"Dem. Rep. of the Congo",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",157
2015,IRN,"Iran (Islamic Rep. of)",-,"-",ALB,"Albania",483
2015,COD,"Dem. Rep. of the Congo",-,"-",SWE,"Sweden",217
2015,ERI,"Eritrea",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",17
2015,SYR,"Syrian Arab Rep.",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",1208
2015,ERI,"Eritrea",-,"-",PRT,"Portugal",4
2015,SYR,"Syrian Arab Rep.",-,"-",AUT,"Austria",621
2015,COD,"Dem. Rep. of the Congo",-,"-",NLD,"Netherlands",74
